DATE	TIME	VALUE	PRECISION	REMARK	FLAGS	TYPE	QA
8D	6S	16N	1S	1S	32S	1S	1S
20030129		0.00	2	 		C	A
20030130		0.01	2	e		E	A
20030131		0.26	2	 		C	A
20030201		0.00	2	 		C	A
20030202		0.05	2	 		C	A
20030203		0.04	2	 		C	A
20030204		0.00	2	 		C	A
20030205		0.00	2	 		C	A
20030206		0.00	2	 		C	A
20030207		0.00	2	 		C	A
20030208		0.00	2	 		C	A
20030209		0.00	2	 		C	A
20030210		0.00	2	 		C	A
20030211		0.00	2	 		C	A
20030212		0.00	2	 		C	A
20030213		0.00	2	 		C	A
20030214		0.00	2	 		C	A
20030215		0.00	2	 		C	A
20030216		0.00	2	 		C	A
20030217		0.00	2	 		C	A
20030218		0.00	2	 		C	A
20030219		0.00	2	 		C	A
20030220		0.00	2	 		C	A
20030221		0.00	2	 		C	A
20030222		0.00	2	 		C	A
20030223		0.00	2	 		C	A
20030224		0.00	2	 		C	A
20030225		0.00	2	 		C	A
20030226		0.00	2	 		C	A
20030227		0.00	2	 		C	A
20030228		0.00	2	 		C	A
20030301		0.00	2	 		C	A
20030302		0.00	2	 		C	A
20030303		0.00	2	 		C	A
20030304		0.08	2	 		C	A
20030305		0.05	2	e		E	A
20030306		0.03	2	e		E	A
20030307		0.18	2	 		C	A
20030308		0.04	2	 		C	A
20030309		0.00	2	 		C	A
20030310		0.00	2	 		C	A
20030311		0.00	2	 		C	A
20030312		0.00	2	 		C	A
20030313		0.01	2	e		E	A
20030314		0.00	2	 		C	A
20030315		0.00	2	 		C	A
20030316		0.00	2	 		C	A
20030317		0.00	2	 		C	A
20030318		0.00	2	 		C	A
20030319		0.20	2	 		C	A
20030320		0.06	2	 		C	A
20030321		0.02	2	 		C	A
20030322		0.00	2	 		C	A
20030323		0.00	2	 		C	A
20030324		0.06	2	 		C	A
20030325		0.11	2	 		C	A
20030326		0.01	2	 		C	A
20030327		0.03	2	 		C	A
20030328		0.41	2	 		C	A
20030329		0.00	2	 		C	A
20030330		0.00	2	 		C	A
20030331		0.06	2	 		C	A
20030401		0.00	2	 		C	A
20030402		0.00	2	 		C	A
20030403		0.49	2	 		C	A
20030404		0.94	2	 		C	A
20030405		0.00	2	 		C	A
20030406		0.00	2	 		C	A
20030407		0.00	2	 		C	A
20030408		0.00	2	 		C	A
20030409		0.27	2	 		C	A
20030410		0.00	2	 		C	A
20030411		0.00	2	 		C	A
20030412		0.00	2	 		C	A
20030413		0.00	2	 		C	A
20030414		0.00	2	 		C	A
20030415		0.00	2	 		C	A
20030416		0.00	2	 		C	A
20030417		0.01	2	 		C	A
20030418		0.00	2	 		C	A
20030419		0.00	2	 		C	A
20030420		0.04	2	 		C	A
20030421		0.01	2	 		C	A
20030422		0.00	2	 		C	A
20030423		0.00	2	 		C	A
20030424		0.00	2	 		C	A
20030425		0.00	2	 		C	A
20030426		0.00	2	 		C	A
20030427		0.00	2	 		C	A
20030428		0.00	2	 		C	A
20030429		0.07	2	 		C	A
20030430		2.25	3	 		C	A
20030501		0.97	2	 		C	A
20030502		0.00	2	 		C	A
20030503		0.00	2	 		C	A
20030504		1.18	3	 		C	A
20030505		0.02	2	 		C	A
20030506		0.00	2	 		C	A
20030507		0.07	2	 		C	A
20030508		0.33	2	 		C	A
20030509		1.21	3	 		C	A
20030510		0.31	2	 		C	A
20030511		0.13	2	 		C	A
20030512		0.00	2	 		C	A
20030513		0.00	2	 		C	A
20030514		0.60	2	 		C	A
20030515		0.00	2	 		C	A
20030516		0.00	2	 		C	A
20030517		0.00	2	 		C	A
20030518		0.00	2	 		C	A
20030519		0.00	2	 		C	A
20030520		0.07	2	 		C	A
20030521		0.00	2	 		C	A
20030522		0.00	2	 		C	A
20030523		0.00	2	 		C	A
20030524		0.00	2	 		C	A
20030525		0.00	2	 		C	A
20030526		0.00	2	 		C	A
20030527		0.00	2	 		C	A
20030528		0.32	2	 		C	A
20030529		0.00	2	 		C	A
20030530		0.27	2	 		C	A
20030531		0.02	2	 		C	A
20030601		0.00	2	 		C	A
20030602		0.02	2	 		C	A
20030603		0.15	2	 		C	A
20030604		0.00	2	 		C	A
20030605		0.00	2	 		C	A
20030606		0.07	2	 		C	A
20030607		0.00	2	 		C	A
20030608		0.58	2	 		C	A
20030609		0.00	2	 		C	A
20030610		0.00	2	 		C	A
20030611		0.00	2	 		C	A
20030612		0.00	2	 		C	A
20030613		0.00	2	 		C	A
20030614		0.00	2	 		C	A
20030615		0.00	2	 		C	A
20030616		0.00	2	 		C	A
20030617		0.00	2	 		C	A
20030618		0.96	2	 		C	A
20030619		0.01	2	 		C	A
20030620		0.00	2	 		C	A
20030621		0.00	2	 		C	A
20030622		0.00	2	 		C	A
20030623		0.00	2	 		C	A
20030624		0.00	2	 		C	A
20030625		0.00	2	 		C	A
20030626		0.05	2	 		C	A
20030627		0.00	2	 		C	A
20030628		0.00	2	 		C	A
20030629		0.00	2	 		C	A
20030630		0.00	2	 		C	A
20030701		0.00	2	 		C	A
20030702		0.00	2	 		C	A
20030703		0.00	2	 		C	A
20030704		0.01	2	 		C	A
20030705		0.56	2	 		C	A
20030706		0.33	2	 		C	A
20030707		0.17	2	 		C	A
20030708		0.27	2	 		C	A
20030709		0.23	2	 		C	A
20030710		0.05	2	 		C	A
20030711		0.00	2	 		C	A
20030712		0.00	2	 		C	A
20030713		0.07	2	 		C	A
20030714		0.00	2	 		C	A
20030715		1.26	3	 		C	A
20030716		0.00	2	 		C	A
20030717		0.00	2	 		C	A
20030718		0.00	2	 		C	A
20030719		0.00	2	 		C	A
20030720		0.08	2	 		C	A
20030721		0.17	2	 		C	A
20030722		0.00	2	 		C	A
20030723		0.00	2	 		C	A
20030724		0.00	2	 		C	A
20030725		0.00	2	 		C	A
20030726		0.00	2	 		C	A
20030727		0.00	2	 		C	A
20030728		0.10	2	 		C	A
20030729		0.00	2	 		C	A
20030730		0.00	2	 		C	A
20030731		0.07	2	 		C	A
20030801		2.74	3	 		C	A
20030802		0.11	2	 		C	A
20030803		0.76	2	 		C	A
20030804		0.00	2	 		C	A
20030805		0.00	2	 		C	A
20030806		0.44	2	 		C	A
20030807		0.00	2	 		C	A
20030808		0.03	2	 		C	A
20030809		0.00	2	 		C	A
20030810		0.00	2	 		C	A
20030811		0.00	2	 		C	A
20030812		0.00	2	 		C	A
20030813		0.00	2	 		C	A
20030814		0.28	2	 		C	A
20030815		0.00	2	 		C	A
20030816		0.00	2	 		C	A
20030817		0.00	2	 		C	A
20030818		0.00	2	 		C	A
20030819		0.00	2	 		C	A
20030820		0.00	2	 		C	A
20030821		0.00	2	 		C	A
20030822		0.00	2	 		C	A
20030823		0.00	2	 		C	A
20030824		0.00	2	 		C	A
20030825		0.00	2	 		C	A
20030826		0.32	2	 		C	A
20030827		0.00	2	 		C	A
20030828		0.00	2	 		C	A
20030829		0.00	2	 		C	A
20030830		0.00	2	 		C	A
20030831		0.19	2	 		C	A
20030901		0.34	2	 		C	A
20030902		0.00	2	 		C	A
20030903		0.00	2	 		C	A
20030904		0.00	2	 		C	A
20030905		0.00	2	 		C	A
20030906		0.00	2	 		C	A
20030907		0.00	2	 		C	A
20030908		0.00	2	 		C	A
20030909		0.00	2	 		C	A
20030910		0.00	2	 		C	A
20030911		0.00	2	 		C	A
20030912		0.05	2	 		C	A
20030913		0.01	2	 		C	A
20030914		0.58	2	 		C	A
20030915		0.00	2	 		C	A
20030916		0.00	2	 		C	A
20030917		0.00	2	 		C	A
20030918		0.00	2	 		C	A
20030919		0.00	2	 		C	A
20030920		0.00	2	 		C	A
20030921		0.01	2	 		C	A
20030922		0.16	2	 		C	A
20030923		0.00	2	 		C	A
20030924		0.01	2	 		C	A
20030925		0.00	2	 		C	A
20030926		0.49	2	 		C	A
20030927		0.00	2	 		C	A
20030928		0.00	2	 		C	A
20030929		0.00	2	 		C	A
20030930		0.00	2	 		C	A
20031001		0.00	2	 		C	A
20031002		0.00	2	 		C	A
20031003		0.21	2	 		C	A
20031004		0.00	2	 		C	A
20031005		0.00	2	 		C	A
20031006		0.00	2	 		C	A
20031007		0.00	2	 		C	A
20031008		0.00	2	 		C	A
20031009		0.00	2	 		C	A
20031010		0.00	2	 		C	A
20031011		0.00	2	 		C	A
20031012		0.00	2	 		C	A
20031013		0.01	2	 		C	A
20031014		1.11	3	 		C	A
20031015		0.00	2	 		C	A
20031016		0.00	2	 		C	A
20031017		0.00	2	 		C	A
20031018		0.00	2	 		C	A
20031019		0.00	2	 		C	A
20031020		0.00	2	 		C	A
20031021		0.00	2	 		C	A
20031022		0.00	2	 		C	A
20031023		0.00	2	 		C	A
20031024		0.08	2	 		C	A
20031025		0.21	2	 		C	A
20031026		0.00	2	 		C	A
20031027		0.01	2	 		C	A
20031028		0.04	2	 		C	A
20031029		0.02	2	 		C	A
20031030		0.00	2	 		C	A
20031031		0.00	2	 		C	A
20031101		0.07	2	 		C	A
20031102		0.81	2	 		C	A
20031103		0.56	2	 		C	A
20031104		0.86	2	 		C	A
20031105		0.00	2	 		C	A
20031106		0.00	2	 		C	A
20031107		0.00	2	 		C	A
20031108		0.00	2	 		C	A
20031109		0.00	2	 		C	A
20031110		0.00	2	 		C	A
20031111		0.01	2	 		C	A
20031112		0.00	2	 		C	A
20031113		0.00	2	 		C	A
20031114		0.00	2	 		C	A
20031115		0.00	2	 		C	A
20031116		0.02	2	 		C	A
20031117		0.27	2	 		C	A
20031118		1.06	3	 		C	A
20031119		0.00	2	 		C	A
20031120		0.00	2	 		C	A
20031121		0.00	2	 		C	A
20031122		0.00	2	 		C	A
20031123		0.49	2	 		C	A
20031124		0.00	2	 		C	A
20031125		0.00	2	 		C	A
20031126		0.00	2	 		C	A
20031127		0.00	2	 		C	A
20031128		0.00	2	 		C	A
20031129		0.00	2	 		C	A
20031130		0.00	2	 		C	A
20031201		0.00	2	 		C	A
20031202		0.00	2	 		C	A
20031203		0.00	2	 		C	A
20031204		0.19	2	 		C	A
20031205		0.31	2	 		C	A
20031206		0.00	2	 		C	A
20031207		0.00	2	 		C	A
20031208		0.00	2	 		C	A
20031209		0.54	2	 		C	A
20031210		0.61	2	 		C	A
20031211		0.00	2	 		C	A
20031212		0.00	2	 		C	A
20031213		0.00	2	 		C	A
20031214		0.01	2	e		E	A
20031215		0.02	2	e		E	A
20031216		0.00	2	 		C	A
20031217		0.00	2	 		C	A
20031218		0.00	2	 		C	A
20031219		0.00	2	 		C	A
20031220		0.00	2	 		C	A
20031221		0.00	2	 		C	A
20031222		0.00	2	 		C	A
20031223		0.00	2	 		C	A
20031224		0.00	2	 		C	A
20031225		0.00	2	 		C	A
20031226		0.00	2	 		C	A
20031227		0.00	2	 		C	A
20031228		0.17	2	 		C	A
20031229		0.00	2	 		C	A
20031230		0.00	2	 		C	A
20031231		0.00	2	 		C	A
20040101		0.00	2	 		C	A
20040102		0.00	2	 		C	A
20040103		0.00	2	 		C	A
20040104		0.00	2	 		C	A
20040105		0.00	2	 		C	A
20040106		0.00	2	 		C	A
20040107		0.00	2	 		C	A
20040108		0.00	2	 		C	A
20040109		0.00	2	 		C	A
20040110		0.00	2	 		C	A
20040111		0.16	2	e		E	A
20040112		0.00	2	 		C	A
20040113		0.00	2	 		C	A
20040114		0.00	2	 		C	A
20040115		0.00	2	 		C	A
20040116		0.00	2	 		C	A
20040117		0.02	2	e		E	A
20040118		0.00	2	 		C	A
20040119		0.00	2	 		C	A
20040120		0.00	2	 		C	A
20040121		0.00	2	 		C	A
20040122		0.00	2	 		C	A
20040123		0.00	2	 		C	A
20040124		0.00	2	 		C	A
20040125		0.00	2	 		C	A
20040126		0.00	2	 		C	A
20040127		0.00	2	 		C	A
20040128		0.00	2	 		C	A
20040129		0.00	2	 		C	A
20040130		0.00	2	 		C	A
20040131		0.00	2	 		C	A
20040201		0.00	2	 		C	A
20040202		0.01	2	e		E	A
20040203		0.01	2	e		E	A
20040204		0.00	2	 		C	A
20040205		0.00	2	 		C	A
20040206		0.00	2	 		C	A
20040207		0.00	2	 		C	A
20040208		0.00	2	 		C	A
20040209		0.00	2	 		C	A
20040210		0.00	2	 		C	A
20040211		0.07	2	e		E	A
20040212		0.00	2	 		C	A
20040213		0.00	2	 		C	A
20040214		0.00	2	 		C	A
20040215		0.00	2	 		C	A
20040216		0.00	2	 		C	A
20040217		0.00	2	 		C	A
20040218		0.09	2	e		E	A
20040219		0.00	2	 		C	A
20040220		0.18	2	 		C	A
20040221		0.03	2	 		C	A
20040222		0.03	2	 		C	A
20040223		0.00	2	 		C	A
20040224		0.00	2	 		C	A
20040225		0.00	2	 		C	A
20040226		0.00	2	 		C	A
20040227		0.00	2	 		C	A
20040228		0.00	2	 		C	A
20040229		0.00	2	 		C	A
20040301		0.14	2	 		C	A
20040302		0.00	2	 		C	A
20040303		0.03	2	 		C	A
20040304		0.75	2	 		C	A
20040305		0.66	2	 		C	A
20040306		0.00	2	 		C	A
20040307		0.03	2	 		C	A
20040308		0.00	2	 		C	A
20040309		0.00	2	 		C	A
20040310		0.00	2	 		C	A
