#### USGS	05530990	SALT CREEK AT ROLLING MEADOWS, IL
Agency	Gage_ID	Date	Precip_inches	Data_flag
USGS	05530990	2010-03-12	0.01	A
USGS	05530990	2010-03-13	0.42	A
USGS	05530990	2010-03-14	0.00	A
USGS	05530990	2010-03-15	0.00	A
USGS	05530990	2010-03-16	0.00	A
USGS	05530990	2010-03-17	0.00	A
USGS	05530990	2010-03-18	0.00	A
USGS	05530990	2010-03-19	0.00	A
USGS	05530990	2010-03-20	0.16	A:e
USGS	05530990	2010-03-21	0.15	A:e
USGS	05530990	2010-03-22	0.00	A
USGS	05530990	2010-03-23	0.00	A
USGS	05530990	2010-03-24	0.00	A
USGS	05530990	2010-03-25	0.05	A
USGS	05530990	2010-03-26	0.00	A
USGS	05530990	2010-03-27	0.00	A
USGS	05530990	2010-03-28	0.00	A
USGS	05530990	2010-03-29	0.00	A
USGS	05530990	2010-03-30	0.00	A
USGS	05530990	2010-03-31	0.00	A
USGS	05530990	2010-04-01	0.00	A
USGS	05530990	2010-04-02	0.00	A
USGS	05530990	2010-04-03	0.21	A
USGS	05530990	2010-04-04	0.85	A
USGS	05530990	2010-04-05	0.99	A
USGS	05530990	2010-04-06	0.20	A
USGS	05530990	2010-04-07	0.16	A
USGS	05530990	2010-04-08	0.00	A:e
USGS	05530990	2010-04-09	0.00	A
USGS	05530990	2010-04-10	0.00	A
USGS	05530990	2010-04-11	0.00	A
USGS	05530990	2010-04-12	0.00	A
USGS	05530990	2010-04-13	0.00	A
USGS	05530990	2010-04-14	0.00	A
USGS	05530990	2010-04-15	0.00	A
USGS	05530990	2010-04-16	0.00	A
USGS	05530990	2010-04-17	0.00	A
USGS	05530990	2010-04-18	0.00	A
USGS	05530990	2010-04-19	0.00	A
USGS	05530990	2010-04-20	0.00	A
USGS	05530990	2010-04-21	0.00	A
USGS	05530990	2010-04-22	0.00	A
USGS	05530990	2010-04-23	0.10	A
USGS	05530990	2010-04-24	0.18	A
USGS	05530990	2010-04-25	0.13	A
USGS	05530990	2010-04-26	0.00	A
USGS	05530990	2010-04-27	0.00	A
USGS	05530990	2010-04-28	0.00	A
USGS	05530990	2010-04-29	0.00	A
USGS	05530990	2010-04-30	0.08	A
USGS	05530990	2010-05-01	0.06	A
USGS	05530990	2010-05-02	1.07	A
USGS	05530990	2010-05-03	0.00	A
USGS	05530990	2010-05-04	0.00	A
USGS	05530990	2010-05-05	0.00	A
USGS	05530990	2010-05-06	0.02	A
USGS	05530990	2010-05-07	0.78	A
USGS	05530990	2010-05-08	0.01	A
USGS	05530990	2010-05-09	0.00	A
USGS	05530990	2010-05-10	0.01	A
USGS	05530990	2010-05-11	1.02	A
USGS	05530990	2010-05-12	0.19	A
USGS	05530990	2010-05-13	1.52	A
USGS	05530990	2010-05-14	0.00	A
USGS	05530990	2010-05-15	0.00	A
USGS	05530990	2010-05-16	0.00	A
USGS	05530990	2010-05-17	0.00	A
USGS	05530990	2010-05-18	0.00	A
USGS	05530990	2010-05-19	0.00	A
USGS	05530990	2010-05-20	0.05	A
USGS	05530990	2010-05-21	0.60	A
USGS	05530990	2010-05-22	0.00	A
USGS	05530990	2010-05-23	0.00	A
USGS	05530990	2010-05-24	0.00	A
USGS	05530990	2010-05-25	0.00	A
